, revenue,Adult,Genre ID,IMDB ID,Movie,Popularity,Release date,original language,run budget,run time,vote average,vote_count,sentiment_score
88,1296184,FALSE,"[28, 12, 35, 53]",13191,"War, Inc.",6.592585,4/28/2008,en,5000000,106,5.6,89,-0.1978
89,190213455,FALSE,"[28, 878, 53]",9383,Hollow Man,9.739024,8/4/2000,en,95000000,112,5.6,694,0.161633333
90,50012507,FALSE,"[18, 10749]",9560,A Walk in the Clouds,7.014401,8/11/1995,en,20000000,103,6.6,181,0
91,635096,FALSE,"[18, 10752, 10749, 37]",22267,Ride with the Devil,5.713073,11/24/1999,en,38000000,138,6.6,51,0.128957143
92,78000000,FALSE,"[28, 35]",16214,Hooper,3.35336,7/28/1978,en,0,107,6.1,36,-0.35255
93,295206,FALSE,[35],2171,Wet Hot American Summer,6.668558,7/27/2001,en,5000000,97,6.4,281,0
94,102356381,FALSE,"[14, 27, 28]",924,Dawn of the Dead,9.147155,3/19/2004,en,28000000,101,6.8,1128,-0.05745
95,3569939,FALSE,"[14, 12, 10751]",19051,The New Adventures of Pippi Longstocking,3.61177,7/6/1988,en,5000000,100,5.8,18,-0.156225
96,13418091,FALSE,[53],44326,Extremities,2.934475,8/22/1986,en,0,89,6,13,0.427407692
97,34872033,FALSE,"[27, 53, 35]",11284,Freddy's Dead: The Final Nightmare,10.483103,9/5/1991,en,11000000,89,5.1,304,-0.087636364
98,82176340,FALSE,"[28, 12, 14]",297762,Wonder Woman,305.721742,5/30/2017,en,149000000,141,7.2,6273,0
99,92380927,FALSE,[35],15373,Role Models,8.985356,11/7/2008,en,28000000,99,6.4,597,-0.07106
100,15445131,FALSE,[18],38718,Reversal of Fortune,4.050676,10/5/1990,en,0,111,6.6,62,-0.21305
101,2275557,FALSE,"[28, 53]",13154,Showdown in Little Tokyo,7.279503,8/23/1991,en,8000000,79,5.7,104,0.094983333
102,48027970,FALSE,[18],1523,The Last King of Scotland,8.556531,9/1/2006,en,6000000,121,7.4,603,0
103,41590886,FALSE,"[18, 28, 80]",9400,Set It Off,4.727594,11/6/1996,en,9000000,118,6.9,69,0.125225
104,47175038,FALSE,"[35, 10749]",6961,The Wedding Date,8.084758,2/4/2005,en,15000000,88,6.2,259,0
105,46471023,FALSE,"[12, 16, 35, 10751]",10315,Fantastic Mr. Fox,8.623031,10/23/2009,en,40000000,87,7.5,1289,0
106,10400000,FALSE,"[12, 18]",10339,Moby Dick,5.626089,6/27/1956,en,4500000,116,6.8,100,0
107,122563539,FALSE,"[37, 16, 12, 35, 10751]",9023,Spirit: Stallion of the Cimarron,8.967454,5/24/2002,en,80000000,83,7.4,981,0.178859091
108,325233863,FALSE,"[16, 18]",17979,A Christmas Carol,13.718141,11/4/2009,en,200000000,96,6.6,1259,0.103106
109,352114312,FALSE,"[18, 80]",640,Catch Me If You Can,12.868387,12/25/2002,en,52000000,141,7.7,4220,0.315266667
110,10000000,FALSE,[99],8357,What the #$*! Do We (K)now!?,5.081999,4/23/2004,en,0,109,5.7,36,-0.086936
111,57138719,FALSE,"[80, 53]",17494,Unlawful Entry,4.836356,6/26/1992,en,23000000,117,5.8,67,0
112,4000000,FALSE,"[18, 10749, 10769]",33142,Vivah,2.62818,11/10/2006,hi,10,162,6.5,26,-0.42415
113,220673217,FALSE,[35],4256,Scary Movie 3,10.994533,10/24/2003,en,48000000,84,5.8,1058,-0.131328571
114,1659542,FALSE,[35],114726,Out on a Limb,2.477641,9/4/1992,en,11000000,82,6.2,13,0
115,31584901,FALSE,"[35, 9648]",512,Scoop,6.683785,7/27/2006,en,4000000,96,6.4,467,0.176812
116,589244,FALSE,"[99, 18, 10402]",24348,Powaqqatsi,4.742449,4/29/1988,en,2500000,99,7.5,40,0
117,50451307,FALSE,"[35, 18, 10749]",11431,Fever Pitch,6.876429,4/6/2005,en,30000000,103,5.8,196,0.48315
118,2400000,FALSE,"[27, 53]",29064,The Omega Code,2.252709,10/15/1999,en,0,100,4.4,17,-0.166057895
119,347451894,FALSE,"[12, 28, 53, 9648]",2059,National Treasure,9.481867,11/19/2004,en,100000000,131,6.4,2122,0.059753333
120,29657751,FALSE,"[80, 53, 9648]",70436,The Raven,7.067215,3/9/2012,en,26000000,111,6.1,455,0.9851
121,52223306,FALSE,"[27, 53]",9357,One Hour Photo,7.172717,8/21/2002,en,12000000,96,6.6,480,0
122,37803872,FALSE,"[18, 10749]",11557,St. Elmo's Fire,6.768464,6/20/1985,en,0,110,6,144,0.205655556
123,183611771,FALSE,"[35, 10751]",10481,102 Dalmatians,7.087468,10/7/2000,en,85000000,100,5.1,352,-0.123906667
124,472370,FALSE,[18],266030,Party Girl,2.164918,8/27/2014,fr,0,95,6.9,14,0.27384
125,49779728,FALSE,"[35, 10749]",34016,She's Out of My League,7.219591,3/11/2010,en,20000000,104,5.9,578,-0.045825
126,1000000,FALSE,"[18, 10749]",2998,Zabriskie Point,5.529823,2/9/1970,en,7000000,113,7.1,89,0.113312
127,57231524,FALSE,"[18, 35, 10749]",16781,Madea's Family Reunion,6.088449,2/24/2006,en,6000000,110,6,78,0
128,553171,FALSE,"[878, 16]",149,Akira,10.329727,7/16/1988,ja,8000000,124,7.8,877,0
129,144008,FALSE,"[18, 27]",25853,Dahmer,4.301807,6/21/2002,en,250000,101,5.2,59,-0.264738462
130,50041732,FALSE,[27],10307,Stigmata,6.965436,9/10/1999,en,29000000,103,5.9,265,-0.404116667
131,3572443,FALSE,[35],9771,Major League: Back to the Minors,2.599883,4/17/1998,en,0,107,4.3,23,-0.348666667
132,24464742,FALSE,"[53, 18, 10749]",303,Notorious,10.862401,8/15/1946,en,2000000,102,7.8,374,0.126271429
133,18875011,FALSE,"[27, 53, 9648, 14]",11082,The Seventh Sign,6.083786,4/1/1988,en,0,97,5.9,81,0
134,130293714,FALSE,"[28, 18, 53, 80]",9509,Man on Fire,9.562333,4/23/2004,en,70000000,146,7.3,1664,0
135,153205,FALSE,"[35, 18]",14820,Music Within,3.170794,1/5/2007,en,0,94,6.7,18,-0.4373
136,29133000,FALSE,[18],25188,The Last Picture Show,7.54337,10/2/1971,en,1300000,118,7.7,147,-0.175677778
137,138530565,FALSE,"[18, 10752, 28]",792,Platoon,11.764249,12/18/1986,en,6000000,120,7.5,1323,0
138,97838349,FALSE,"[28, 35, 18]",5375,Fred Claus,7.434961,11/3/2007,en,100000000,116,5.4,232,-0.042407692
139,154937680,FALSE,[18],1125,Dreamgirls,7.427213,12/25/2006,en,70000000,134,6.6,309,0.167436364
140,1301121,FALSE,[18],108312,Native Son,1.371219,12/24/1986,en,2000000,111,2,2,0
141,5091888,FALSE,"[28, 80, 53]",23587,Vigilante,5.034868,1/4/1983,en,0,90,7.1,16,0.3257
142,30102717,FALSE,"[53, 28, 80, 18]",9594,Double Impact,7.444173,7/31/1991,en,15000000,110,5.3,236,-0.0107
143,48428063,FALSE,"[28, 12, 16, 878, 53]",12244,9,9.868553,8/19/2009,en,30000000,79,6.6,1352,0.022266667
144,8826094,FALSE,"[28, 878]",10881,Avalon,7.206154,1/20/2001,pl,8000000,107,6.7,100,0.214133333
145,1258000,FALSE,"[18, 27, 9648, 53]",72277,The Last Wave,2.811122,1/1/1977,en,810000,106,6.9,40,0.000325
146,34725000,FALSE,"[27, 9648, 53]",10576,Psycho II,5.931639,6/3/1983,en,5000000,113,6.1,135,0.40475
147,43440294,FALSE,[18],293,A River Runs Through It,9.383502,10/9/1992,en,0,123,7,261,-0.042542857
148,146292009,FALSE,[18],873,The Color Purple,11.680162,12/18/1985,en,15000000,154,7.7,379,-0.2386
149,123509,FALSE,"[18, 35]",88641,There Goes My Baby,1.07898,9/2/1994,en,10500000,99,8.5,2,-0.16368
150,85313124,FALSE,"[35, 18, 878]",10328,Cocoon,6.901259,6/21/1985,en,0,117,6.5,352,0
151,1431623,FALSE,[99],12901,No End in Sight,2.840742,7/27/2007,en,2000000,102,7.4,25,-0.16945
152,12207,FALSE,"[99, 10752]",50062,The Ground Truth,1.004528,9/15/2006,en,500000,72,0,0,0
153,4857367,FALSE,"[18, 10749]",2266,"Paris, je t'aime",10.090438,5/16/2006,fr,13000000,120,6.8,227,0.159908333
154,146402,FALSE,[18],54580,Mondays in the Sun,3.372179,9/27/2002,es,4000000,113,7.1,41,0.19314
155,5186646,FALSE,"[80, 18, 53]",18588,52 Pick-Up,3.50913,11/7/1986,en,0,110,5.8,24,0.3632
156,50236831,FALSE,"[14, 18, 35, 10751]",24795,Angels in the Outfield,6.035827,7/15/1994,en,0,102,5.8,130,0.132455556
157,40055439,FALSE,"[27, 53]",329440,The Forest,8.217988,1/7/2016,en,10000000,95,4.8,529,0.244233333
158,1300000,FALSE,[37],156566,Red Garters,1.627794,2/9/1954,en,0,91,0,0,0.46325
159,29000000,FALSE,[35],8970,The Out-of-Towners,4.741464,4/2/1999,en,75000000,90,5,48,-0.090191667
160,38755073,FALSE,"[9648, 53, 27]",9708,The Wicker Man,8.553985,9/1/2006,en,40000000,102,4.1,388,0.092373333
161,76578641,FALSE,"[35, 18, 10749]",455,Bend It Like Beckham,6.542885,4/11/2002,en,3500159,112,6.2,650,0.9717
162,173306,FALSE,"[10749, 35]",28151,Baptists at Our Barbecue,1.144915,10/8/2004,en,500000,92,4,2,-0.020716667
163,184376254,FALSE,"[80, 18, 53]",388,Inside Man,8.827844,3/23/2006,en,45000000,129,7.3,1775,0.054
164,1323312,FALSE,"[18, 53]",401546,The Dinner,7.700873,5/5/2017,en,0,120,4.2,61,0
165,1062253,FALSE,"[18, 10749]",59210,The Mother,3.30939,1/1/2003,en,2500000,112,6.3,19,-0.001525
166,400200,FALSE,[18],35227,Foolish Wives,1.683022,1/11/1922,en,1100000,117,6.3,11,0
167,22000000,FALSE,"[9648, 27, 18]",1842,The Legend of Boggy Creek,2.807997,8/1/1972,en,100000,90,5.6,19,0
168,73956241,FALSE,[18],10400,The Hurricane,6.97024,9/17/1999,en,50000000,146,7.3,432,-0.041383333
169,16757163,FALSE,"[10402, 18]",3682,54,6.822577,8/28/1998,en,13000000,106,5.5,149,0.024714286
170,255000211,FALSE,"[28, 12, 53]",9350,Cliffhanger,9.355405,5/28/1993,en,70000000,112,6.1,647,0.209485
171,389503,FALSE,"[28, 35, 18, 53]",54022,Search and Destroy,1.46867,1/1/1995,en,4000000,90,6.1,4,0
172,14225876,FALSE,"[27, 878, 28]",24331,Scanners II: The New Order,2.665752,6/28/1991,en,0,104,4.6,22,0
173,4100000,FALSE,"[18, 10749]",52778,Until September,2.295451,9/21/1984,en,0,95,6.3,2,0
174,17297244,FALSE,"[28, 35, 80, 18, 53]",9515,The Matador,6.818872,5/12/2005,en,10000000,96,6.2,145,0.2004
175,68392977,FALSE,"[18, 10402, 10749]",13763,Purple Rain,5.849371,7/27/1984,en,7200000,111,6.7,99,0.135896429
176,76514050,FALSE,"[27, 53, 9648]",13788,The Unborn,7.376899,1/9/2009,en,16000000,87,4.9,401,0
177,114908830,FALSE,[27],6466,Freddy vs. Jason,16.30388,8/15/2003,en,30000000,97,5.8,678,0
178,57469467,FALSE,"[18, 27]",8913,Pet Sematary,8.132245,4/21/1989,en,11500000,103,6.4,445,-0.141785714
179,203388341,FALSE,"[18, 9648, 10749, 878, 53]",1903,Vanilla Sky,7.073076,12/10/2001,en,68000000,136,6.5,1182,0
180,391410,FALSE,"[28, 12, 18, 27, 53]",15749,While She Was Out,5.158581,10/27/2008,en,6000000,108,4.8,38,-0.042037037
181,25005257,FALSE,"[80, 18, 53]",7972,Before the Devil Knows You're Dead,7.601975,9/26/2007,en,18000000,117,6.9,397,0.244460714
182,18626419,FALSE,"[18, 9648, 53]",9566,The Fan,7.148061,8/15/1996,en,55000000,116,5.7,221,0.2167125
183,33082548,FALSE,"[10751, 28, 12]",17043,The Crocodile Hunter: Collision Course,3.768994,7/26/2002,en,0,90,5.4,37,0.013536364
184,426224,FALSE,"[10749, 35, 18, 27]",10288,Fido,6.274175,9/7/2006,en,8000000,91,6.6,143,0.148333333
185,101702060,FALSE,"[28, 878, 12, 35, 10751]",88751,Journey to the Center of the Earth,17.414348,7/10/2008,en,45000000,93,5.8,1461,0.6431
186,45916769,FALSE,"[18, 80, 53]",11975,The Rainmaker,6.813961,11/18/1997,en,40000000,135,6.7,258,-0.4165
187,543514353,FALSE,"[10749, 14, 10751, 18]",150689,Cinderella,17.853442,3/12/2015,en,95000000,105,6.7,2580,0
188,127067,FALSE,"[99, 10402]",1843,Dig!,2.371056,5/14/2004,en,0,107,7.2,20,0
