Movie,IMDB ID,Genre ID,Popularity,Release date,Adult,original language,vote_count,vote average,run time,run budget, revenue,Na•ve Bayes Polarity Scores
Carlito's Way: Rise to Power,12261,"[28, 12, 18, 53]",3.514267,9/27/05,FALSE,en,22,4.6,100,9000000,0,-2.46382E-05
Mama's Boy,13167,"[35, 18, 10749]",3.661211,12/14/07,FALSE,en,27,4.3,93,0,0,-2.81307E-05
Class of Nuke 'Em High,26554,"[27, 35, 878]",4.003697,12/12/86,FALSE,en,44,5.7,85,2000000,0,-3.16274E-05
The Brain Machine,86939,"[18, 53, 878, 27]",1.205593,1/1/77,FALSE,en,2,3.3,85,0,0,-2.13021E-05
Higher Learning,16295,"[10749, 18, 80]",4.783932,1/11/95,FALSE,en,53,6.4,127,0,38290723,1.49264E-05
Stunt Rock,27805,"[28, 18, 10402]",1.109241,1/1/78,FALSE,en,3,4.3,86,0,0,-1.23155E-05
Phat Beach,92381,[35],1.724273,8/2/96,FALSE,en,8,5.4,89,0,0,-4.94792E-05
The Human Tornado,32100,"[28, 35]",2.582124,10/2/76,FALSE,en,12,5.8,85,0,0,1.1021E-05
Sky Captain and the World of Tomorrow,5137,"[9648, 28, 53, 878, 12]",5.885554,9/17/04,FALSE,en,472,5.7,107,70000000,57958696,-1.53352E-05
Time of Her Life,257206,"[27, 9648, 10749]",1.215448,3/3/06,FALSE,en,6,6,96,100000,750000,-3.36219E-05
East Palace West Palace,44322,[18],1.302834,1/1/96,FALSE,zh,3,8.3,90,0,0,-1.42213E-06
Seventeen and Missing,220733,"[10770, 9648, 53]",1.612384,2/3/07,FALSE,en,1,4,90,0,0,-3.25531E-05
A Beautiful Mind,453,"[18, 10749]",12.363865,12/11/01,FALSE,en,3318,7.7,135,60000000,313542341,-1.32894E-05
Rosenstrasse,6317,"[18, 36]",1.658125,9/18/03,FALSE,de,10,6.5,136,0,0,1.41502E-05
Hulchul,20364,"[35, 18, 10749]",2.337927,11/26/04,FALSE,en,13,6.2,168,0,0,-3.59906E-05
Cubbyhouse,74807,"[27, 53]",1.904989,12/10/01,FALSE,en,10,2.8,89,0,0,-5.97854E-05
The Secret Lives of Dentists,26195,[18],2.086368,9/9/02,FALSE,en,6,6.8,104,0,0,-1.18018E-05
Cowards Bend the Knee,17595,"[18, 10749]",1.322567,1/1/03,FALSE,en,4,7.8,64,0,0,-1.26847E-05
The Night Brings Charlie,222900,[27],1.398669,8/8/90,FALSE,en,3,5.2,75,0,0,-2.69708E-05
A Chinese Ghost Story,30421,"[14, 28]",6.609107,7/18/87,FALSE,cn,62,7.2,98,0,0,-2.53253E-05
The Prodigy,20270,"[28, 18, 10751, 9648, 53]",1.835176,1/1/05,FALSE,en,1,6,120,0,0,2.18689E-05
Nothing,10981,"[35, 14, 878]",3.981796,9/9/03,FALSE,en,38,5.8,90,0,0,7.76708E-06
Russian Terminator,86223,[28],1.10719,12/12/89,FALSE,en,2,6.5,87,0,0,-6.50416E-05
The Golden Arrow,176259,"[10751, 35]",1.144794,5/23/36,FALSE,en,3,5.7,68,0,0,1.92762E-05
